File,WaveData20240823_004.csv,
Date/Time,24-08-23/16:31,
,,
Center Wavelength,1550,nm
Span Wavelength,50,nm
Start Wavelength,1525,nm
Stop Wavelength,1575,nm
Value In Air/Vacuum,Air,
Optical Attenuater,On,
Resolution,0.5,nm
Actual Resolution,0.473,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
,,
Trace,A,
Start,1525,nm
Stop,1575,nm
Wavelength(A),Level(A),
1525,0.04478,
1525.1,0.0478,
1525.2,0.05108,
1525.3,0.05453,
1525.4,0.05834,
1525.5,0.06246,
1525.6,0.06677,
1525.7,0.07142,
1525.8,0.07628,
1525.9,0.08158,
1526,0.08715,
1526.1,0.09312,
1526.2,0.09975,
1526.3,0.1066,
1526.4,0.1141,
1526.5,0.1221,
1526.6,0.1304,
1526.7,0.1393,
1526.8,0.1489,
1526.9,0.1593,
1527,0.1702,
1527.1,0.1819,
1527.2,0.1947,
1527.3,0.208,
1527.4,0.2232,
1527.5,0.2385,
1527.6,0.2542,
1527.7,0.2713,
1527.8,0.2891,
1527.9,0.309,
1528,0.3298,
1528.1,0.352,
1528.2,0.3751,
1528.3,0.3998,
1528.4,0.4261,
1528.5,0.4534,
1528.6,0.4833,
1528.7,0.515,
1528.8,0.5479,
1528.9,0.5825,
1529,0.6196,
1529.1,0.6585,
1529.2,0.6995,
1529.3,0.743,
1529.4,0.7882,
1529.5,0.835,
1529.6,0.8829,
1529.7,0.935,
1529.8,0.9887,
1529.9,1.044,
1530,1.102,
1530.1,1.161,
1530.2,1.222,
1530.3,1.284,
1530.4,1.348,
1530.5,1.411,
1530.6,1.474,
1530.7,1.54,
1530.8,1.608,
1530.9,1.673,
1531,1.737,
1531.1,1.798,
1531.2,1.857,
1531.3,1.912,
1531.4,1.954,
1531.5,2.004,
1531.6,2.054,
1531.7,2.099,
1531.8,2.136,
1531.9,2.166,
1532,2.189,
1532.1,2.204,
1532.2,2.217,
1532.3,2.224,
1532.4,2.224,
1532.5,2.219,
1532.6,2.202,
1532.7,2.174,
1532.8,2.136,
1532.9,2.09,
1533,2.041,
1533.1,1.987,
1533.2,1.924,
1533.3,1.858,
1533.4,1.784,
1533.5,1.705,
